"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Transport of small molecules",0.89449485115749,0.88305352073814,0.883546461936664,0,0.888931033495686,0,0.888986041595488,0.889155567437118,0,0.882697263422422,0.889761687671046,0,0.888831127997318,0.884393173338888,0,0.889441237060089,0,0.877624395808029,0,0.889226989760441,0,0,0,0,0.889608667366014,0.884565639896615,0.894643541785699,0.888975658947489,0,0.889266231543049,0.88325266027018,0.889783297640454,0.888589997673379,0.889751174205689,0,0,0.894460460633346,0.888657605166917,0,0.888634713883274,0.88892212848445,0.883077044432674,0.889488705623412,0.889477037081964,0.882766122430741,0.889477037081964,0,0.883990980977369,0.88999856385329,0.883925033080203,0.894347622647924,0.88999856385329,0.88286050293021,0.883058027535016,0.889257457884262,0.883186541574112,0.894557110739541,0.889608667366016,0.888024553540583,0.895048892483659,0.889146155740111,0.883727909791368,0.889192706039865,0.88911998966844,0.888961824836265,0.889595415120842,0.889069398592164,0.883107725230957,0.889692004803392,0.883394199315222,0.888873757713874,0.889097490753239,0.882509358701288,0.889443349233469,0.883565521757076,0.894800931419457,0.889366549236593,0.883233384132323,0.894415281377448,0.888557623993964,0.888726389602686,0.88447294318267,0,0.889438782193385,0.878123656212614,0.888638252381233,0.883764308256009,0.889348540346144,0.888664030063804,0.883635973198786,0.889215331292693,0.883157269274412,0.894416449327061,0.883580668281535,0.888866671982963,0,0.889018026770314,0,0,0.883616437216008,0.883559948413522,0.888611591237885,0.894442079075569,0.88269511563242,0.888648305510935,0.882662603605621,0.883026767501552,0.887727347167614,0.895121131157169,0.889148044801591,0.884447302010718,0.888904512498183,0.883520920596061,0.882412340020974,0.889283261191677,0.889225050118433,0.894475735138933,0.888255248503155,0.888984720521922,0.889061951083179,0.884273614825024,0.884020609129495,0.88908084923754,0.882937598435825,0.884485961178845,0.889582316976604,0,0.888847098908177,0.883907931862055,0,0.889078766504074,0.883746242178515,0.894416449327061,0.883061570690488,0.883559174143386,0.895310942953972,0.88999856385329,0.889319871675753,0,0.889954525846246,0.882514365795678,0.882502886987594,0.889114077715385,0.88842398036661,0.88866272126141,0.889388129077155,0.895925260622873,0,0.8892536609063,0.8890261472308,0.883584734336146,0.889146155740111,0,0.89448003947388,0.889567314802267,0.883394199315222,0,0.883463567076152,0.877624119026562,0,0.894475735138933,0.894640659659152,0,0.894547894593979,0,0.889064721217475,0.888625398173113,0.889128547551844,0.882951272748601,0.894477163061706,0.895047514970701,0.883022109297965,0.882919379662616,0.88876820261351,0,0,0.883115346629675,0.883148978706042,0.882891367248745,0.894412958893549,0.889248169784111,0.889439247166358,0.889349626562802,0.889800896010842,0.889753414089235,0.882787812346366,0.883661688143526,0.895009239087939,0.894416449327061,0.88883214671828,0.889158918843752,0.888870804499634,0.889364635266597,0.884380644717722,0,0.894414117911339,0.889364242792012,0,0.890061711139616,0.88932756519743,0,0.882692693409011,0.888619107070301,0.88862548512456,0.894416449327061,0.883670026011976,0,0.887572429456469,0.889323461669392,0.889148044801591,0.88372943763234,0.888766994458196,0.889658477491745,0.889306561440572,0.883631164088768,0.895244957514462,0.88358194775936,0.889323461669392,0.888931386570397,0.894643541785699,0.894643541785699,0.894643541785699,0.894643541785699,0.894643541785699,0,0,0.8827720715316,0.888668239281989,0.882919379662616,0.889589727204547,0.894898929972287
"Keratinization",-0.012106778014502,0,0,0,-0.012106778014502,0,0,0,0,0,0,0,0,0,0,0.76308219834025,0,0,0,0.640359663219643,0,0,0,0,0,0,0,-0.012106778014502,0,0.74400976684091,0,0,-0.012106778014502,0,0,0,0,-0.012106778014502,0,-0.012106778014502,0.639515451816838,0,0,-0.012106778014502,0,-0.012106778014502,0.624758576334058,0,0,0,-0.012106778014502,-0.012106778014502,0,0,0.744628367231336,0,-0.012106778014502,-0.012106778014502,0,0,0.711984030336892,0,0.760983922189214,0.622340601140595,0.695477071652658,-0.012106778014502,0.607946474734499,0,0,-0.012106778014502,0.761139386528438,0,0,0,0,-0.012106778014502,0.760779002482877,0,0,-0.012106778014502,0,0,0,0,0,0.623395499125045,0.64086276991231,-0.012106778014502,0,0,0.624223210719922,0,0,0,0,0,-0.012106778014502,0,0,0,0,-0.012106778014502,0,0,0.639918363406071,0,0,-0.012106778014502,0,0.60735263897611,0,0,0,0,0.744984215637605,-0.012106778014502,0,-0.012106778014502,0.744328278266918,-0.012106778014502,0,0,-0.012106778014502,0,0,0,0,0,0,0,0.607802759615326,0,0,0.638085659824696,0,0,0,0.744158305259016,0,0,0,0,0.761058799880184,0,-0.012106778014502,0.638659111721898,0,0,0.607523759321312,-0.012106778014502,0,0.608159027999365,0,0.743492586947995,-0.012106778014502,-0.012106778014502,0,0,0,0,0,0,0,-0.012106778014502,0,0.607121902161129,0,0.729616643196771,0,0,0,0,0,-0.012106778014502,0,0,0,0,0,0,0,-0.012106778014502,0.761174141567891,0.641328317667951,0,0,0,0,0,0,0.639292658085909,0.607838535549688,0.745140765533398,0,0,0,0,0,0,0,0,0.623853348892472,0,0.639610122100545,0,0,0,0,0,0.607546067050288,0,0,0.640211696862566,0.74412144701168,0,0,0,0.623435439307427,0,0,0,0,0,0,0,0,0,0,0,-0.012106778014502,0.744583361574901
"SLC-mediated transmembrane transport",0.883927458641105,0,0.884837875735723,0,0.884536033750628,0,0.898429221076274,0.88344684865227,0,0,0,0,0.884658114824624,0.886317910647775,0,0.900369006170329,0,0,0,0.884123597023592,0,0,0,0,0.898982109502672,0.88681571541781,0.897647126869128,0.882989645108747,0,0.898347444591439,0.870580586980303,0,0.897237852552936,0.899344263796836,0,0,0.897181860600815,0.897409664264981,0,0.897193176717573,0.88357507408739,0,0.885552223165658,0,0,0,0,0,0,0,0.896895104112083,0.900590760102227,0,0,0.8986795737101,0.883690141912484,0.884085679643297,0,0.883572636081381,0.885065898354797,0,0.884272842913352,0.898009338954684,0.897944524936363,0.883056982971469,0.900760820674774,0.884201451976689,0.882687270865293,0.899193895904501,0.883833124812761,0.883986720686558,0,0,0.884944167130212,0.884356973170607,0.897870147448902,0.89769755248431,0.870531600306291,0.882065451207667,0.897155580943766,0,0.886580144177252,0,0.884961779534155,0,0.88388399508726,0,0.900133434929771,0.884420026759738,0,0.884319023994496,0,0.882068419331644,0.883794661904622,0.898125865687389,0,0.898240930805747,0,0,0,0.885044716882784,0.897374149409553,0.897135147333594,0,0.884274231658434,0,0,0.897653831309252,0,0.883750212552951,0.885963716507279,0.88389829168523,0,0,0.898319331299502,0.883623425800886,0.897220677880055,0.897478922389313,0.896644548733183,0.899405122292423,0,0,0.884708658843784,0,0.885963716507279,0.898915144950658,0,0.897557009166233,0.883796721166914,0,0.884353547979523,0.885112515587971,0.882068419331644,0.882343896342156,0.884827394492051,0.914104476431015,0,0.898248189645895,0,0.899861043693301,0,0.882969432030075,0.884876156010579,0.883623425800886,0.8974226658556,0.896838770287064,0,0,0.884018615991972,0.897997204146969,0,0.884117147632014,0,0.910339122314633,0.884815708296909,0.883833124812761,0,0.884394150052625,0,0,0.897220677880055,0.897568411550652,0,0.884062258545065,0,0.883538461356577,0.883136720085193,0.884352706394451,0,0.897224306676858,0.898375909000569,0.88453020919521,0,0.898658615879557,0,0,0,0,0,0.882059549052239,0.883802177481326,0.884490248519724,0.884940575907501,0,0,0,0.884173916853733,0.912706645423135,0.882068419331644,0.897839119777869,0.8830088964479,0.884621951418544,0.899149810561946,0,0,0.882062494477671,0.898543645189726,0,0,0.898267741282285,0,0,0.884119303569341,0.883149390276792,0.882068419331644,0,0,0.88360589348443,0.885132286777557,0.883750212552951,0.884041154392875,0.900168280334561,0.899108692556278,0.898214364189951,0.883542180197963,0.899041907539818,0.883417106165877,0.885058447906181,0.898091319171793,0.897647126869128,0.897647126869128,0.897647126869128,0.897647126869128,0.897647126869128,0,0,0,0.882996161795709,0,0.898146885934326,0.884849409241757
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0,0.708053963802447,0,0.709224631629302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708221157596559,0,0,0,0,0.707052971955009,0,0,0,0.705875259399482,0,0,0,0,0,0,0.704409312667717,0,0,0,0,0,0,0,0,0.737076128327766,0,0,0,0,0.708097900383547,0,0,0,0,0.680697452866999,0,0,0.707030827844326,0.732743020409477,0.704737657698356,0,0.708758930660391,-0.0204505472695282,0,0,0.708297558676678,0.732415865101894,0,0,-0.0204505472695282,0.732476644683773,0.73553399056465,0,0.650179442658779,0,0,0,0,0,0,0,0,0,0.735400085010589,0,0.708338946796702,0,0.65018490588788,0.707874927041698,0.733792061753009,0,0.704568301396343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71192871374288,0,0.707180390994668,0,0.706109811532011,0,0,0.701465641849216,0.706401095018845,0,0,0.735870500566499,0,0,0,0.708264484540777,0,0.732311404883113,0,0,0.707695649671802,0,0.65018490588788,-0.0204505472695282,0.70874131593672,0,0,0.707303880325278,0,0.735700981755804,0,0,0.708161433189167,0,0,0.700846291805157,0,0,0,0.733242223756602,0,0,0,0.706345945327086,0,0,0,0,0,0,0,0.703084523492007,0,0,0.681737680578793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650168578952431,0,0,0.733624683300516,0.707492772810925,0.70607077243145,0,0,0.733101904726581,0.65018490588788,0,0.706488069233977,0,0.70896343419317,0,0,0.650174000401825,0,0.738296934991285,0.709882512230549,0.733306583161823,0,0,0,0.733306583161823,0.65018490588788,0.732388528527068,0,0.706766981391936,0,0,0,0,0.708745892586498,0.707241620050205,0.759479735107149,0,0.759249519625204,0.708406641270705,0,0,0,0,0,0,0,0,0,0.706646765496893,0,0,0.708021877654525
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.905934268139731,0,0,0,0.906383837425759,0,0.929722155446117,0,0,0,0,0,0,0,0,0,0,0,0,0.90790496022508,0,0,0,0,0.930305506687763,0,0.928530404056468,0,0,0,0.887027403327673,0,0.928278374924601,0.930857355658633,0,0,0.927821433555533,0.928540180784709,0,0.928210298101641,0.906819721654162,0,0.909207320240894,0,0,0,0,0,0,0,0.927384475397787,0,0,0,0,0,0.90617536454156,0,0,0.909100051101209,0,0,0.905966126141825,0.928724440318164,0.906132837384534,0,0,0.906340967307057,0.930887363269988,0,0.90641847329186,0,0,0.908914557646922,0,0,0.907341145406847,0.886952757669522,0,0.928153009842414,0,0,0,0,0,0.905710191985164,0,0,0.908115875072397,0,0,0,0,0,0.929259903964189,0,0.929176102155716,0,0,0,0,0.927855304834884,0.927750252103711,0,0.907190222184915,0,0,0.928281482767902,0,0,0,0,0,0,0.928473883304754,0,0.927880583138862,0,0,0,0,0,0,0,0,0.930203466425617,0,0.928393083134416,0.907865038683452,0,0.906654417581776,0,0,0.905938728229518,0,0,0,0,0,0.931644822378279,0,0,0,0,0.928559992545935,0.927039496704118,0,0,0.906968091482718,0.905970496176829,0,0,0,0.928256213734043,0,0,0,0,0,0,0.927880583138862,0.928410458032928,0,0.90613967558477,0,0.906236434159661,0,0,0,0.92788611268197,0.929381781279512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951218888485069,0,0.929337855223163,0.905956982891383,0.907182221665402,0,0,0,0,0.929637376877455,0,0,0.929216955830859,0,0,0,0,0,0,0,0.906204126043298,0.909050322582393,0.906559099613813,0,0.932112988093904,0.908000278193043,0,0.906778216705495,0.930396626649038,0.906587629497222,0,0.929722155446117,0.928530404056468,0.928530404056468,0.928530404056468,0.928530404056468,0.928530404056468,0,0,0,0.905275019829868,0,0,0
"O2/CO2 exchange in erythrocytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124803199870196,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181945013603765,0,0.181945013603765,0,0,0,0,0,0,0,0,0.180173159237971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125238713559622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125325848698903,0,0,0,0,0.179055299384235,0,0,0.121086286787133,0.241976363296179,0,0.126267796275018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124426840593508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125238713559622,0,0,0,0.12519615888502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biological oxidations",0.876182663392273,0.877183993387437,0,0,0.876974162052225,0,0.87747154614954,0.878243363962635,0,0.879734163757594,0,0,0,0.878539283766364,0,0.863928470741714,0,0,0,0.86150210507475,0,0,0,0,0.878361152927729,0,0.876340776499091,0,0,0.892034879376185,0,0,0.876361201233821,0.877712238238404,0,0,0.875917576545681,0.876609658449744,0,0.876369110292331,0.87682728580453,0,0,0.877940588570248,0,0.877940588570248,0,0.895298304925233,0,0.89654735980099,0.875766926122142,0.895123212966664,0,0.87719671947857,0.892730775769498,0.878382276502589,0.876358469211116,0,0,0.878655795897796,0,0.87798393261196,0.891955381978719,0.89393157962601,0.876427203440851,0.864363831843176,0.878854737278141,0.879150509339544,0,0,0.87821175142688,0.893676051360994,0.877904607225923,0,0.909853475254301,0.893770775797548,0.893782701524436,0,0.876073263807309,0.876269785888088,0.877258058100056,0,0,0.879176206529972,0.879980607813909,0.877060657530037,0.861904260109261,0.863666717913275,0.895535577735057,0,0.878601204367084,0,0.876076561811108,0.878079363050926,0.894564857541283,0,0.87830355850699,0,0.895437268182559,0,0.877942579725123,0.875963784839098,0.875771895122859,0,0.877505620826662,0,0,0.876274550822824,0,0.876756672723769,0.880526524554058,0,0.87773287025041,0,0.894329111008397,0.860832657168138,0.875866931606945,0.87824131700289,0.893005346066927,0.862857459990438,0,0.895709182494728,0,0.860177190923438,0,0.894139771143135,0,0.893671024994469,0.861500426799961,0,0.893887396088448,0,0.876076561811108,0.878209314890171,0.894616582622574,0,0,0.892186345980079,0,0.894933121712377,0.877678517899629,0,0.892801657061825,0,0.876624105048195,0.875477521031397,0.880431384346223,0,0,0.894232935198804,0,0.877870186919202,0,0.891380142204657,0.878030121110461,0,0,0,0,0,0.875866931606945,0.877407841876012,0,0.876332445072122,0.863141034072289,0,0.877263594418328,0,0.878033731590971,0.875870963711308,0,0.877482315816647,0,0.876675050155574,0,0,0,0,0,0.876066705681311,0.877586832145086,0.87766848945704,0.894463815691873,0.880068982884323,0.877830264173278,0,0,0.89399454019307,0.876076561811108,0.877133766896455,0.876807526433812,0.893282149945262,0.893333153820741,0.879327412107339,0,0.87606997846383,0,0.897284327799051,0.879533013114242,0.894271787232822,0,0.877354415249294,0,0.894271787232822,0.876076561811108,0.909431602460404,0,0.878250546712008,0,0.860520712880515,0,0,0.88005222121131,0.892148761134214,0.910071811895577,0.878090804161695,0.909932837029268,0.893148238554682,0,0.876340776499091,0.876340776499091,0.876340776499091,0.876340776499091,0.876340776499091,0,0,0,0.878177975624258,0.87798393261196,0.877843439436905,0.877630155066825
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.470287046578615,0,0,0,0.475554989436006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473575839068275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46686833866896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475283417926463,0,0.680132548862733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Drug ADME",0.585408073942577,0.531991725938895,0.618156946348818,0,0.586514419474255,0,0.643234287034237,0.615178638622024,0.589259216152679,0,0,0.589568373973312,0,0.646208635554871,0.589568373973312,0.647188927509908,0.589259216152679,0,0,0.6133930893798,0.589568373973312,0.589259216152679,0,0.591446325177155,0.618114426275624,0.591375690888566,0.611670433772796,0.586720585527213,0,0.668035836925417,0,0,0.613251532491946,0.616952286784535,0,0,0.610824613349098,0.586736357090465,0,0.586342798387536,0.643061082089778,0,0.590213212513109,0.644703960661691,0,0.644703960661691,0,0,0,0.646663772507325,0.610303310793302,0.647472966462785,0.5895532717176,0.532012546983519,0.645298424521533,0.614987702765058,0.585695708280647,0.589753742792462,0,0,0.58628832743213,0.588372439282052,0.642470971706705,0.64238411780583,0.584688471170983,0.647901217939563,0.587706731232704,0.699846471747728,0,0.617366112335295,0.643722076148236,0.643075060870876,0.613818076627116,0,-0.0201982693301417,0.643301791120825,0.643564185354245,0,0.585040467860775,0.613101968657071,0,0.590947439411789,0,0.535011535075525,0,0.641701098974259,0.589100838032547,0.646760676033131,0,0.587295847151168,0,0,0.585045863695485,0.64395803355679,0.642682808878541,0,0.643134871598833,0,0.646235521030548,0,0,0.585961325785919,0.610739692007999,0,0.587954847072593,0.586613473372851,0,0.586469767250549,0,0.617215383843894,0.647163808642154,0.592562679874841,0.617086498569937,0.58760247810899,0.642606263891468,0.588502433313468,0.610895180355154,0.641934964231968,0.641864109520711,0.645436656336324,0,0.645473017369429,0.64282678252103,0,0,0.644117661491633,0,0.641648668867721,0.587702217220429,0,0.642554712170251,0,0.585045863695485,0.728344087463814,0.66984798214221,0,0,0.668283650090174,0,0,0.613448173889307,0,0.64358762990466,0.644327645747408,0.586759993041823,0.615246516865931,0.597105887133265,0,0.617703321882768,0.642892265236465,0,0.61354748129292,0,0.641794537899805,0.619152378040508,0.617366112335295,0,0,0,0,0.610895180355154,0.641669397577874,0,0.585653130418079,0,0.616830435484571,0.643442849959061,0.587426918770442,0,0.610901777245276,0.616425062321458,0.613127169404715,0,0.644079561671559,0,0,0,0,0.53513062873167,0.585029738169102,0.615208659183128,0.618560715705663,0.643254904503951,0.619407321809221,0.64583723699015,0,0,0.643058635173837,0.585045863695485,0.614515520307866,0.613697026420327,0.586989713328884,0.645296778153023,0,0,0.585035092739499,0,0,0,0.642940728448386,0,0.587970005283922,0,0.642940728448386,0.585045863695485,0.645277889512894,0,0,0.589233211469967,0.617215383843894,0.588682509175467,0,0.618529194227241,0.668222157857819,0.641549635786978,0.588873505902785,0.641322260243087,0.643685184453975,0,0.611670433772796,0.611670433772796,0.611670433772796,0.611670433772796,0.611670433772796,0,0,0,0,0.589017277821847,0.644580147634607,0.643614325102176
"Digestion and absorption",0,0,0,0,0,0,0.346375460789895,0,0,0,0,0,0,0,0,0.315608112509012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35437721873438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300070724529999,0.317379690393369,0,0.341291455296261,0,0,0,0,0.348180768806181,0,0,0.304309595489377,0.305490120736489,0,0,0,0,0,0,0,0,0,0,0.314542983997362,0,0,0,0,0,0,0.407058938154737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302540682762789,0.708711950978034,0.311249939593476,0,0,0,0,0,0,0,0.404486869941796,0,0,0,0,0,0.340097914128574,0,0,0,0,0,0,0.347260762749125,0,0.345420227419005,0,0,0,0,0,0,0.343653184879105,0,0,0,0.30219142047583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346462374308109,0,0.307874632562829,0,0,0,0,0,0,0,0,0,0,0.188241961841964,0,0,0,0,0,0,0,0,0,0.186870655464073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240098547374075,0,0.23953302877628,0,0,0,0,0,0,0,0,0,0,0,0,0.309119668273593,0
"Metabolism",0.856668486299372,0.853899359492843,0.857496988463108,0.851340799286462,0.853894342186819,0,0.85712523933514,0.854134503562703,0.851345573136559,0.854069694656219,0.851454888488057,0.851379776076755,0.85374313136754,0.854290409379149,0.851379776076755,0.854237417445475,0.851345573136559,0.851400086247491,0.851029490620768,0.854336754675432,0.851379776076755,0.851345573136559,0.854286134023412,0.851363217615476,0.854121058428874,0.851546300808434,0.857191401651349,0.853631023976302,0,0.856960426870254,0.853850049030684,0.851688885509034,0.853848056473025,0.852264614976937,0.856116412968775,0.851319656162817,0.856874367571591,0.853981960113428,0,0.857040153252029,0.854005519978034,0.850990460537195,0.854412315334821,0.857230147992208,0.854604663961599,0.857006689243359,0,0.85417579322117,0.85106162638134,0.85453213232677,0.856816694503178,0.854228717447303,0.854209855894014,0.853901662979595,0.857364846592307,0.853863464989804,0.857147225537965,0.854319644293434,0.854046636632282,0.85376899562932,0.854245007285425,0.851078879233667,0.857234906040743,0.857127475383127,0.853720555578423,0.854316220003074,0.854097145665933,0.854277619417457,0.854255550074326,0.854248324855998,0.854225338482133,0.854352102001763,0.854061687863047,0.854289045167535,0.859679942169836,0.856978594330591,0.85404383274544,0.853840196727727,0.85388332793932,0.853831509833871,0.853980117009582,0.851498922224839,0.854552835609668,0.854088189580479,0.851356573571938,0.85571908009405,0.851190291686809,0.854449344638898,0.85448993587712,0.857246875776814,0.854152498004211,0.850927133036251,0.854107383643511,0.854115118428189,0.857064227861,0.854264703883258,0.854005844149013,0.851579541543003,0.857375692196503,0.851222039085663,0.854697318600917,0.856568938633288,0.856864972500993,0.854063155863039,0.854083381984106,0.853648796449705,0.851333157153091,0.85385547880751,0,0.85727351493519,0.854190800511061,0.854317059422078,0.854007336091942,0.850967994629213,0.853955202248387,0.853758491282721,0.857105633333323,0.854086525653957,0.854126586231442,0.854012497694494,0.851276681642338,0.857398582047625,0.857378540672968,0.850865162909444,0.851590753346145,0.857219620807618,0,0.860464514926975,0.854300038504863,0.857355232646468,0.854062782990152,0.851439996751792,0.854107383643511,0.85400107008905,0.857451151877612,0.854608867798091,0.851039447740764,0.856977220342762,0.854222174456554,0.857212531859868,0.854087760305751,0.853970346148872,0.857032243297296,0.854109635938787,0.854108685262196,0.859936540109035,0.857783431361249,0,0.856911217603368,0.85721807428844,0.851435536960124,0.854149030444315,0,0.853958027032503,0.870440338011629,0.854248324855998,0.852971854392693,0.854363897604687,0.848253878960445,0.851184433877947,0.856882174584472,0.857063253986915,0.854422185293498,0.856919056288554,0.854620206905371,0.858417250887728,0.854061216944481,0.85412454063294,0.854432944595933,0.857106363164572,0.856953394963982,0.854208709734576,0.851159219597918,0.853893420151154,0.851113891988686,0,0.851089600036702,0.851410424032202,0.85160682834494,0.853882140885401,0.854073884077436,0.87104317716526,0.854238252648681,0.85435196539737,0.854244228594826,0.854115975474383,0.851264621404885,0.854011001496303,0.85388392489466,0.853855177145904,0.854339573120901,0.854078369251634,0.85413587311344,0.854399343980965,0.857198893777177,0.854106192024413,0.854178419611044,0.854796158165062,0.85129680821779,0.854337230130998,0,0.851028589851255,0.853634764514098,0.854324790794603,0.854107383643511,0.85718649458521,0.854287907661749,0.856985662226052,0.854418588021838,0.856865797110497,0.85133812167914,0.853962483906421,0.85935744288371,0.856973173132423,0.857254430675727,0.857275334871079,0.857067923286949,0.857398582047625,0.853960898063006,0.856967942902498,0.856967942902498,0.857191401651349,0.857191401651349,0.856967942902498,0.857315130040994,0.850868907236635,0.851344003741729,0.857261714641349,0.851029876081005,0.8539488012886,0.854260796285018
"Lewis blood group biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406077385893097,0,0,0,0.412110202607715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409843691420632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402162302002082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411799200536064,0,0.487432999267247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
